"","Method","VARIABLE","SCORE"
"1","M1","AROMA",5.4
"2","M1","SABOR",6
"3","M1","TEXTURA",6.3
"4","M1","UMIDADE",6.7
"5","M1","AROMA",5.2
"6","M1","SABOR",6.2
"7","M1","TEXTURA",6
"8","M1","UMIDADE",5.8
"9","M1","AROMA",6.1
"10","M1","SABOR",5.9
"11","M1","TEXTURA",6
"12","M1","UMIDADE",7
"13","M1","AROMA",4.8
"14","M1","SABOR",5
"15","M1","TEXTURA",4.9
"16","M1","UMIDADE",5
"17","M1","AROMA",5
"18","M1","SABOR",5.7
"19","M1","TEXTURA",5
"20","M1","UMIDADE",6.5
"21","M1","AROMA",5.7
"22","M1","SABOR",6.1
"23","M1","TEXTURA",6
"24","M1","UMIDADE",6.6
"25","M1","AROMA",6
"26","M1","SABOR",6
"27","M1","TEXTURA",5.8
"28","M1","UMIDADE",6
"29","M1","AROMA",4
"30","M1","SABOR",5
"31","M1","TEXTURA",4
"32","M1","UMIDADE",5
"33","M1","AROMA",5.7
"34","M1","SABOR",5.4
"35","M1","TEXTURA",4.9
"36","M1","UMIDADE",5
"37","M1","AROMA",5.6
"38","M1","SABOR",5.2
"39","M1","TEXTURA",5.4
"40","M1","UMIDADE",5.8
"41","M1","AROMA",5.8
"42","M1","SABOR",6.1
"43","M1","TEXTURA",5.2
"44","M1","UMIDADE",6.4
"45","M1","AROMA",5.3
"46","M1","SABOR",5.9
"47","M1","TEXTURA",5.8
"48","M1","UMIDADE",6
"49","M2","AROMA",5
"50","M2","SABOR",5.3
"51","M2","TEXTURA",5.3
"52","M2","UMIDADE",6.5
"53","M2","AROMA",4.8
"54","M2","SABOR",4.9
"55","M2","TEXTURA",4.2
"56","M2","UMIDADE",5.6
"57","M2","AROMA",3.9
"58","M2","SABOR",4
"59","M2","TEXTURA",4.4
"60","M2","UMIDADE",5
"61","M2","AROMA",4
"62","M2","SABOR",5.1
"63","M2","TEXTURA",4.8
"64","M2","UMIDADE",5.8
"65","M2","AROMA",5.6
"66","M2","SABOR",5.4
"67","M2","TEXTURA",5.1
"68","M2","UMIDADE",6.2
"69","M2","AROMA",6
"70","M2","SABOR",5.5
"71","M2","TEXTURA",5.7
"72","M2","UMIDADE",6
"73","M2","AROMA",5.2
"74","M2","SABOR",4.8
"75","M2","TEXTURA",5.4
"76","M2","UMIDADE",6
"77","M2","AROMA",5.3
"78","M2","SABOR",5.1
"79","M2","TEXTURA",5.8
"80","M2","UMIDADE",6.4
"81","M2","AROMA",5.9
"82","M2","SABOR",6.1
"83","M2","TEXTURA",5.7
"84","M2","UMIDADE",6
"85","M2","AROMA",6.1
"86","M2","SABOR",6
"87","M2","TEXTURA",6.1
"88","M2","UMIDADE",6.2
"89","M2","AROMA",6.2
"90","M2","SABOR",5.7
"91","M2","TEXTURA",5.9
"92","M2","UMIDADE",6
"93","M2","AROMA",5.1
"94","M2","SABOR",4.9
"95","M2","TEXTURA",5.3
"96","M2","UMIDADE",4.8
"97","M3","AROMA",4.8
"98","M3","SABOR",5
"99","M3","TEXTURA",6.5
"100","M3","UMIDADE",7
"101","M3","AROMA",5.4
"102","M3","SABOR",5
"103","M3","TEXTURA",6
"104","M3","UMIDADE",6.4
"105","M3","AROMA",4.9
"106","M3","SABOR",5.1
"107","M3","TEXTURA",5.9
"108","M3","UMIDADE",6.5
"109","M3","AROMA",5.7
"110","M3","SABOR",5.2
"111","M3","TEXTURA",6.4
"112","M3","UMIDADE",6.4
"113","M3","AROMA",4.2
"114","M3","SABOR",4.6
"115","M3","TEXTURA",5.3
"116","M3","UMIDADE",6.3
"117","M3","AROMA",6
"118","M3","SABOR",5.3
"119","M3","TEXTURA",5.8
"120","M3","UMIDADE",6.4
"121","M3","AROMA",5.1
"122","M3","SABOR",5.2
"123","M3","TEXTURA",6.2
"124","M3","UMIDADE",6.5
"125","M3","AROMA",4.8
"126","M3","SABOR",4.6
"127","M3","TEXTURA",5.7
"128","M3","UMIDADE",5.7
"129","M3","AROMA",5.3
"130","M3","SABOR",5.4
"131","M3","TEXTURA",6.8
"132","M3","UMIDADE",6.6
"133","M3","AROMA",4.6
"134","M3","SABOR",4.4
"135","M3","TEXTURA",5.7
"136","M3","UMIDADE",5.6
"137","M3","AROMA",4.5
"138","M3","SABOR",4
"139","M3","TEXTURA",5
"140","M3","UMIDADE",5.9
"141","M3","AROMA",4.4
"142","M3","SABOR",4.2
"143","M3","TEXTURA",5.6
"144","M3","UMIDADE",5.5
